Model,Accuracy,Precision,Recall,F1-Score,Train Time (s)
MLP,0.9672,0.9496,0.9521,0.9508,129.46
SVM,0.9088,0.8875,0.8318,0.8587,408.89
RF,0.9735,0.9802,0.9394,0.9593,74.03
KNN,0.9789,0.9744,0.9621,0.9682,0.02
NB,0.5628,0.4224,0.8481,0.5639,0.14
