Model,Accuracy,Precision,Recall,F1-Score,Train Time (s)
MLP,0.6571,0.0856,0.0030,0.0057,59.28
SVM,0.8111,0.9112,0.4800,0.6288,28.58
RF,0.6612,0.0036,0.0001,0.0001,15.05
KNN,0.8663,0.9594,0.6255,0.7573,0.02
NB,0.6330,0.0000,0.0000,0.0000,0.23
