Model,Accuracy,Precision,Recall,F1-Score,Train Time (s)
MLP,0.9594,0.9359,0.9428,0.9393,129.69
SVM,0.919,0.8888,0.8654,0.8769,423.55
RF,0.9811,0.9794,0.9635,0.9714,75.97
KNN,0.9819,0.9726,0.9731,0.9728,0.02
NB,0.6177,0.4647,0.966,0.6275,0.11
