train_scenario,test_type,dede_low_thr,dede_high_thr,accuracy,precision,recall,f1_score,route_trigger,route_ganopt,route_standard,asr,false_positive_rate
clean,clean,0.0004632404015865177,0.013118574395775795,0.889481,0.756551,0.9856,0.856019,1.0,49.0,50.0,,
clean,gan_attack,0.0004632404015865177,0.013118574395775795,0.890491,0.757116,0.98863,0.857522,6.61,58.43,34.97,,
clean,trigger_10,0.0004632404015865177,0.013118574395775795,0.894281,0.759213,1.0,0.863128,34.02,34.92,31.06,0.0,1.03
poison_05,clean,0.0003952234983444214,0.009960081428289413,0.866301,0.723531,0.969281,0.828568,1.0,49.0,50.0,,
poison_05,gan_attack,0.0003952234983444214,0.009960081428289413,0.868571,0.724929,0.97609,0.831967,7.55,58.03,34.42,,
poison_05,trigger_10,0.0003952234983444214,0.009960081428289413,0.876541,0.729729,1.0,0.843749,34.01,34.33,31.66,0.0,1.01
