train_scenario,test_type,dede_low_thr,dede_high_thr,accuracy,precision,recall,f1_score,route_trigger,route_ganopt,route_standard,asr,false_positive_rate
clean,clean,0.0004544106195680797,0.013937430903315604,0.95952,0.903011,0.98428,0.941896,0.94,49.64,49.42,,
clean,gan_attack,0.0004544106195680797,0.013937430903315604,0.813842,0.838096,0.547249,0.662142,8.24,60.35,31.41,,
clean,trigger_10,0.0004544106195680797,0.013937430903315604,0.96476,0.90439,1.0,0.949795,33.96,35.36,30.68,0.0,0.95
poison_05,clean,0.00045812036842107773,0.01412172056734562,0.95968,0.908356,0.97768,0.941744,1.02,49.33,49.65,,
poison_05,gan_attack,0.00045812036842107773,0.01412172056734562,0.856811,0.871517,0.669077,0.756996,9.7,58.91,31.38,,
poison_05,trigger_10,0.00045812036842107773,0.01412172056734562,0.96712,0.910218,1.0,0.952999,34.09,34.61,31.3,0.0,0.93
