train_scenario,test_type,dede_low_thr,dede_high_thr,accuracy,precision,recall,f1_score,route_trigger,route_ganopt,route_standard,asr,false_positive_rate
clean,clean,0.0008315762679558245,0.012812755629420388,0.95913,0.902153,0.98413,0.94136,1.03,30.46,68.51,,
clean,gan_attack,0.0008315762679558245,0.012812755629420388,0.822582,0.843315,0.574489,0.683416,9.38,42.42,48.2,,
clean,trigger_10,0.0008315762679558245,0.012812755629420388,0.96442,0.903556,1.0,0.949335,34.05,20.79,45.15,0.0,1.08
