train_scenario,test_type,dede_low_thr,dede_high_thr,accuracy,precision,recall,f1_score,route_trigger,route_ganopt,route_standard,asr,false_positive_rate
clean,clean,0.0004632404015865177,0.013118574395775795,0.894791,0.770354,0.97504,0.860695,1.0,49.0,50.0,,
clean,gan_attack,0.0004632404015865177,0.013118574395775795,0.827772,0.726986,0.773985,0.749749,6.61,58.43,34.97,,
clean,trigger_10,0.0004632404015865177,0.013118574395775795,0.903111,0.774795,1.0,0.873109,34.02,34.92,31.06,0.0,1.03
poison_05,clean,0.000348874949850142,0.01416861079633236,0.871271,0.738534,0.950231,0.831114,1.0,49.0,50.0,,
poison_05,gan_attack,0.000348874949850142,0.01416861079633236,0.845612,0.721896,0.873253,0.790393,6.81,60.12,33.08,,
poison_05,trigger_10,0.000348874949850142,0.01416861079633236,0.887861,0.748272,1.0,0.856013,33.71,34.0,32.29,0.0,0.56
