train_scenario,test_type,dede_low_thr,dede_high_thr,accuracy,precision,recall,f1_score,route_trigger,route_ganopt,route_standard,asr,false_positive_rate
clean,clean,0.0004632404015865177,0.013118574395775795,0.891051,0.760404,0.98284,0.857431,1.0,49.0,50.0,,
clean,gan_attack,0.0004632404015865177,0.013118574395775795,0.828852,0.719978,0.796244,0.756193,6.61,58.43,34.97,,
clean,trigger_10,0.0004632404015865177,0.013118574395775795,0.896771,0.763543,1.0,0.865919,34.02,34.92,31.06,0.0,1.03
poison_05,clean,0.00035534455673769116,0.010592404752969742,0.864811,0.723087,0.963371,0.826111,1.0,49.0,50.0,,
poison_05,gan_attack,0.00035534455673769116,0.010592404752969742,0.846992,0.711511,0.909912,0.798573,7.98,60.11,31.91,,
poison_05,trigger_10,0.00035534455673769116,0.010592404752969742,0.877021,0.730496,1.0,0.844262,34.0,34.77,31.23,0.0,1.0
