attack_type,accuracy,precision,recall,f1_score,stage1_rejections,stage2_classifications,stage1_pct,stage2_pct,asr,n_poisoned_labels,poison_rate_pct,dede_detect_rate,false_positive_rate,n_malicious_triggered,n_blocked_by_dede,n_bypassed_dede,clean_accuracy,clean_f1,n_benign_blocked
clean,0.985580144198558,0.9624709976798144,0.995560088798224,0.9787359542277406,1000.0,99001.0,0.999990000099999,99.0000099999,,,,,,,,,,,
poison_05,0.985340146598534,0.9634401721831191,0.9937301253974921,0.9783507590525135,1000.0,99001.0,0.999990000099999,99.0000099999,,5000.0,1.67,,,,,,,,
poison_10,0.985050149498505,0.964274257050366,0.99190016199676,0.9778921372905667,1000.0,99001.0,0.999990000099999,99.0000099999,,10000.0,3.33,,,,,,,,
poison_15,0.9845701542984571,0.9636825063446224,0.991060178796424,0.9771796199068253,1000.0,99001.0,0.999990000099999,99.0000099999,,15000.0,5.0,,,,,,,,
poison_50,0.978050219497805,0.9630334572490706,0.9714405711885762,0.9672187457996685,1000.0,99001.0,0.999990000099999,99.0000099999,,50000.0,16.67,,,,,,,,
gan_attack,0.8955610443895561,0.9492110840725332,0.7255054898902022,0.822417193769979,946.0,99055.0,0.9459905400945992,99.0540094599054,,,,,,,,,,,
trigger_05,0.98706,0.962631,1.0,0.98096,,,100.0,0.0,0.0,,,100.0,1.03,33334.0,33334.0,0.0,0.9856,0.9787,688.0
trigger_10,0.98706,0.962631,1.0,0.98096,,,100.0,0.0,0.0,,,100.0,1.03,33334.0,33334.0,0.0,0.9856,0.9787,688.0
trigger_15,0.98706,0.962631,1.0,0.98096,,,100.0,0.0,0.0,,,100.0,1.03,33334.0,33334.0,0.0,0.9856,0.9787,688.0
