Model,Accuracy,Precision,Recall,F1-Score,Train Time (s)
MLP,0.9888,0.9691,0.9982,0.9834,87.95
SVM,0.9834,0.9549,0.9974,0.9757,40.71
RF,0.9927,0.9844,0.9937,0.9890,17.54
KNN,0.9876,0.9747,0.9884,0.9815,0.03
NB,0.9586,0.9066,0.9763,0.9402,0.42
