poison_rate,error_clean_mean,error_clean_std,error_poison_mean,error_poison_std,error_increase,error_increase_pct,threshold,accuracy,precision,recall,f1_score,auc,fpr,tpr
5,0.0020094639621675014,0.019186874851584435,0.0020094639621675014,0.019186874851584435,0.0,0.0,0.007496327906846978,0.5,0.5,0.05000016666722223,0.09090936639201938,0.5,0.05000016666722223,0.05000016666722223
10,0.0020094639621675014,0.019186874851584435,0.0020094639621675014,0.019186874851584435,0.0,0.0,0.007496327906846978,0.5,0.5,0.05000016666722223,0.09090936639201938,0.5,0.05000016666722223,0.05000016666722223
15,0.0020094639621675014,0.019186874851584435,0.0020094639621675014,0.019186874851584435,0.0,0.0,0.007496327906846978,0.5,0.5,0.05000016666722223,0.09090936639201938,0.5,0.05000016666722223,0.05000016666722223
50,0.0020094639621675014,0.019186874851584435,0.0020094639621675014,0.019186874851584435,0.0,0.0,0.007496327906846978,0.5,0.5,0.05000016666722223,0.09090936639201938,0.5,0.05000016666722223,0.05000016666722223
