Model,Accuracy,Precision,Recall,F1-Score,Train Time (s)
MLP,0.9672,0.9485,0.9534,0.9509,132.59
SVM,0.9056,0.8759,0.835,0.855,378.09
RF,0.981,0.9791,0.9636,0.9713,67.32
KNN,0.9819,0.9733,0.9725,0.9729,0.02
NB,0.5632,0.4227,0.8489,0.5644,0.11
