Model,Accuracy,Precision,Recall,F1-Score,Train Time (s)
MLP,0.9057,0.9323,0.7733,0.8454,129.02
SVM,0.6476,0.4196,0.1496,0.2205,41.98
RF,0.7288,0.9182,0.2045,0.3345,17.97
KNN,0.8884,0.9614,0.6930,0.8054,0.02
NB,0.4825,0.3772,0.8487,0.5223,0.16
