Model,Accuracy,Precision,Recall,F1-Score,Train Time (s)
MLP,0.9660,0.9495,0.9485,0.9490,131.43
SVM,0.8589,0.7911,0.7836,0.7873,42.09
RF,0.9171,0.9778,0.7689,0.8608,17.30
KNN,0.9455,0.9688,0.8642,0.9135,0.02
NB,0.5159,0.4038,0.9490,0.5665,0.15
