Model,Accuracy,Precision,Recall,F1-Score,Train Time (s)
MLP,0.9890,0.9692,0.9986,0.9837,57.55
SVM,0.9837,0.9552,0.9978,0.9760,26.35
RF,0.9930,0.9828,0.9963,0.9895,13.50
KNN,0.9890,0.9741,0.9933,0.9836,0.02
NB,0.9596,0.9066,0.9796,0.9417,0.21
