Model,Accuracy,Precision,Recall,F1-Score,Train Time (s)
MLP,0.9679,0.9625,0.9403,0.9513,128.38
SVM,0.8951,0.9122,0.7582,0.8281,232.54
RF,0.9625,0.9806,0.9054,0.9415,69.23
KNN,0.9731,0.9755,0.9432,0.9590,0.02
NB,0.7938,0.6595,0.7889,0.7184,0.11
