Model,Accuracy,Precision,Recall,F1-Score,Train Time (s)
MLP,0.9666,0.9494,0.9505,0.9500,131.18
SVM,0.8967,0.9060,0.7700,0.8324,260.35
RF,0.9637,0.9816,0.9081,0.9434,91.17
KNN,0.9725,0.9750,0.9416,0.9580,0.02
NB,0.7912,0.6434,0.8377,0.7278,0.14
