Model,Accuracy,Precision,Recall,F1-Score,Train Time (s)
MLP,0.7073,0.9866,0.1237,0.2198,127.70
SVM,0.6822,0.8610,0.0557,0.1047,236.15
RF,0.8206,0.9847,0.4692,0.6356,70.03
KNN,0.8206,0.9818,0.4706,0.6362,0.02
NB,0.7947,0.6641,0.7772,0.7162,0.11
