Model,Accuracy,Precision,Recall,F1-Score,Train Time (s)
MLP,0.7489,0.9759,0.2530,0.4018,146.69
SVM,0.6855,0.9338,0.0610,0.1144,274.97
RF,0.8212,0.9851,0.4706,0.6369,82.04
KNN,0.8208,0.9816,0.4713,0.6368,0.02
NB,0.7893,0.6416,0.8333,0.7250,0.10
