Model,Accuracy,Precision,Recall,F1-Score,Train Time (s)
MLP,0.9592,0.9461,0.9307,0.9383,130.14
SVM,0.8413,0.8493,0.6367,0.7278,42.61
RF,0.9879,0.9863,0.9773,0.9818,21.80
KNN,0.9737,0.9768,0.9435,0.9599,0.02
NB,0.5207,0.4074,0.9631,0.5726,0.15
