Model,Accuracy,Precision,Recall,F1-Score,Train Time (s)
MLP,0.9568,0.9535,0.9150,0.9339,129.30
SVM,0.8413,0.8493,0.6367,0.7278,40.20
RF,0.9883,0.9861,0.9788,0.9824,21.45
KNN,0.9737,0.9768,0.9435,0.9599,0.02
NB,0.5207,0.4074,0.9631,0.5726,0.22
