Model,Accuracy,Precision,Recall,F1-Score,Train Time (s)
MLP,0.9519,0.9406,0.9134,0.9268,131.85
SVM,0.9234,0.8873,0.8821,0.8847,423.92
RF,0.9727,0.9795,0.9377,0.9581,75.59
KNN,0.9784,0.973,0.9619,0.9674,0.02
NB,0.7942,0.6481,0.8368,0.7305,0.12
