Model,Accuracy,Precision,Recall,F1-Score,Train Time (s)
MLP,0.6788,0.9625,0.0377,0.0726,130.8
SVM,0.7069,0.9317,0.1302,0.2285,457.38
RF,0.8214,0.9862,0.4708,0.6373,76.41
KNN,0.8219,0.9829,0.4738,0.6394,0.02
NB,0.7774,0.6341,0.7859,0.7019,0.13
