train_scenario,test_type,dede_low_thr,dede_high_thr,accuracy,precision,recall,f1_score,route_trigger,route_ganopt,route_standard,asr,false_positive_rate
clean,clean,0.0004632404015865177,0.013118574395775795,0.95769,0.898377,0.98443,0.939437,1.0,49.0,50.0,,
clean,gan_attack,0.0004632404015865177,0.013118574395775795,0.96221,0.899619,0.99799,0.946255,6.61,58.43,34.97,,
clean,trigger_10,0.0004632404015865177,0.013118574395775795,0.96288,0.8998,1.0,0.947258,34.02,34.92,31.06,0.0,1.03
poison_05,clean,0.00048029355821199715,0.01102364994585514,0.95766,0.901778,0.97969,0.939121,1.0,49.0,50.0,,
poison_05,gan_attack,0.00048029355821199715,0.01102364994585514,0.96122,0.902734,0.99037,0.944524,8.88,59.99,31.13,,
poison_05,trigger_10,0.00048029355821199715,0.01102364994585514,0.96443,0.903581,1.0,0.949349,34.02,37.05,28.94,0.0,1.02
