Model,Type,Accuracy,Precision,Recall,F1-Score,File
MLP,Original,0.499044499044499,0.3333333333333333,0.0021845985800109,0.0043407487791644,gan_adversarial_metrics_mlp_classifier_cicids2017_20251205_104214.csv
MLP,Latent,0.5304395304395304,0.9302325581395348,0.0655379574003277,0.1224489795918367,gan_adversarial_metrics_mlp_classifier_cicids2017_latent_20251205_160946.csv
