Model,Baseline_Acc,Baseline_F1,GAN_Attack_Acc,Accuracy_Drop,Latent_Defense_Acc
MLP,0.9883058032451396,0,0.499044499044499,0.4892613042006406,0.9883058032451396
LSVM,0.8495833942406081,0,,,
KNN,0.992252594649905,0,,,
LDA,0.8685864639672563,0,,,
QSVM,0.927203625200994,0,,,
