Model,Accuracy,Precision,Recall,F1-Score,Train Time (s)
MLP,0.9624,0.9586,0.9273,0.9427,129.66
SVM,0.9099,0.8988,0.8223,0.8588,403.56
RF,0.964,0.9814,0.9091,0.9439,74.81
KNN,0.9726,0.9755,0.9415,0.9582,0.02
NB,0.5628,0.4223,0.8464,0.5634,0.11
